Street Number	Street Name	Zip Code	Full Address	Latitude	Longitude	Pickup Type	Grade	Geocode	Student Uses Wheelchair	Requires Monitor	Child Safety Restraint System	Neighborhood Safety Score	Proposed Maximium Walk to Stop Distance	Assigned School	Current School Start Time	Current School End Time	School Address	School Latitude	School Longitude
1	CLAREMONT PK	2118	1 Claremont Park # 6	42.342049	-71.080765	Corner	3	25025070800				3	0.5	Johnny Pesky School	8:30:00 AM	4:00:00 PM	"236 Beech St, 02131"	42.281233	-71.141075
1	DUNFORD ST	2119	1 Dunford St	42.31742	-71.09455	Corner	1	25025081500				5	0.4	Tris Speaker School	7:30:00 AM	2:10:00 PM	"40 Pershing Rd, 02130"	42.318999	-71.114084
1	ORGAN PARK ST	2131	1 Organ Park St	42.28824	-71.11313	D2D	6	25025110301				4	0.5	John Gorman School	8:30:00 AM	4:00:00 PM	"110 Beachview Rd, 02128"	42.391629	-71.005053
2295	CENTRE ST	2132	2295 Centre St	42.27175	-71.16177	Corner	1	25025130402				2	0.4	Roger Clemens School	7:30:00 AM	3:00:00 PM	"200 Heath St, 02130"	42.326009	-71.106552
1	WESTINGHOUSE PZ	2136	1 Westinghouse Plz #C:219	42.3594	-71.0587	D2D	4	25025030300				7	0.3	Joe Dobson School	8:30:00 AM	4:00:00 PM	"61 School St, 02119"	42.313946	-71.097867
2360	CENTRE ST	2132	2360 Centre St	42.27023	-71.1617	Corner	K	25025130404				3	0.3	Carl Yastrzemski School	7:30:00 AM	3:00:00 PM	"11 Charles St, 02122"	42.300881	-71.061732
2400	BEACON ST	2467	2400 Beacon St PH-602	42.333614	-71.153143	D2D	4	25025000502				2	0.5	Reggie Smith School	9:30:00 AM	5:00:00 PM	"40 Gordon Ave, 02136"	42.256769	-71.127075
2400	BEACON ST	2467	2400 Beacon St # 513	42.333614	-71.153143	D2D	4	25025000502				2	0.5	Carlton Fisk School	7:30:00 AM	2:10:00 PM	"60 Washington St, 02121"	42.307152	-71.081162
2400	BEACON ST	2467	2400 Beacon St # 504	42.333614	-71.153143	D2D	2	25025000502				2	0.3	Dick Radatz School	8:30:00 AM	4:00:00 PM	"1205 VFW Pkwy, 02132"	42.282206	-71.174549
2400	BEACON ST	2467	2400 Beacon St PH-609	42.333614	-71.153143	Corner	6	25025000502				2	0.5	Dutch Leonard School	8:30:00 AM	4:00:00 PM	"655 Metropolitan Av, 02136"	42.262783	-71.117881
1	FAIRFAX ST	2124	1 Fairfax St	42.28371	-71.06052	D2D	K	25025100800				4	0.2	Dave Ferriss School	8:30:00 AM	4:00:00 PM	"150 Newbury St, 02116"	42.350546	-71.07797
2400	BEACON ST	2467	2400 Beacon St # 112	42.333614	-71.153143	Corner	5	25025000502				2	0.5	Reggie Smith School	9:30:00 AM	5:00:00 PM	"40 Gordon Ave, 02136"	42.256769	-71.127075
2400	BEACON ST	2467	2400 Beacon St # 408	42.333614	-71.153143	Corner	3	25025000502				2	0.3	Rick Ferrell School	7:30:00 AM	3:00:00 PM	"570 Amer Legion Hwy, 02131"	42.286377	-71.107826
1	GANNETT ST	2121	1 Gannett St	42.31472	-71.08209	Corner	3	25025082000				6	0.5	Jimmie Foxx School	7:30:00 AM	3:00:00 PM	"50 Burke St, 02127"	42.337285	-71.085266
2450	BEACON ST	2135	2450 Beacon St	42.331689	-71.155635	Corner	5	25025000502				2	0.5	Herb Pennock School	7:30:00 AM	2:10:00 PM	"100 Maxwell St, 02124"	42.281211	-71.080863
1	NASSAU ST	2111	1 Nassau St # 1903	42.34856	-71.062948	D2D	4	25025070200				7	0.5	Harry Hooper School	7:30:00 AM	2:10:00 PM	"9 Peacevale Rd, 02124"	42.285125	-71.076013
2480	CENTRE ST	2132	2480 Centre St	42.26588	-71.16268	Corner	3	25025130404				3	0.5	Luis Tiant School	9:30:00 AM	5:00:00 PM	"6 Shirley St, 02119"	42.323526	-71.072897
1	PARK LA	2127	1 Park Ln #1210	42.34848	-71.038813	Corner	3	25025060600				6	0.5	Mike Greenwell School	8:30:00 AM	3:10:00 PM	"1060 Morton St, 02126"	42.277863	-71.077536
1	PARK LA	2127	1 Park Ln #1210	42.34848	-71.038813	Corner	1	25025060600				6	0.4	Curt Schilling School	9:30:00 AM	4:10:00 PM	"95 Beechcroft St, 02135"	42.352125	-71.160745
1	AVERY ST	2111	1 Avery St PH 1B	42.353458	-71.062852	Corner	5	25025070101				7	0.5	Bob Stanley School	9:30:00 AM	5:00:00 PM	"11 Charles St, 02122"	42.300881	-71.061732
2667	CENTRE ST	2132	2667 Centre St	42.259499	-71.163854	D2D	3	25025130402				2	0.3	John Gorman School	8:30:00 AM	4:00:00 PM	"110 Beachview Rd, 02128"	42.391629	-71.005053
2806	WASHINGTON ST	2119	2806 Washington St	42.32125	-71.092202	Corner	4	25025081700				7	0.5	Vern Stephens School	9:30:00 AM	5:00:00 PM	"50 Bunker Hill St, 02129"	42.37668	-71.057759
1	OLEARY WY	2130	1 O'Leary Way #95E	42.30052	-71.108863	Corner	K	25025110103				3	0.2	Eddie Kasko School	8:30:00 AM	4:00:00 PM	"97 Peterborough St, 02215"	42.343455	-71.099084
2840	WASHINGTON ST	2119	2840 Washington St	42.320899	-71.092694	D2D	3	25025081500				5	0.5	Carlton Fisk School	7:30:00 AM	2:10:00 PM	"60 Washington St, 02121"	42.307152	-71.081162
1	HUNTINGTON AV	2116	1 Huntington Ave # 403	42.348784	-71.078009	Corner	1	25025010600				7	0.4	Joe Castiglione School	7:30:00 AM	2:10:00 PM	"140 Russett Rd, 02132"	42.29256	-71.152211
1	ARDEE ST	2128	1 Ardee St	42.365976	-71.030423	D2D	3	25025051200				3	0.5	Ben Mondor School	7:30:00 AM	3:00:00 PM	"205 Townsend St, 02121"	42.316794	-71.084757
1	RIVERSIDE SQ	2136	1 Riverside Sq	42.25902	-71.11502	Corner	6	25025140300				6	0.4	Jim Rice School	8:30:00 AM	3:10:00 PM	"215 Dorchester St, 02127"	42.333728	-71.050617
3141	WASHINGTON ST	2130	3141 Washington St # C-B	42.314173	-71.100266	Corner	3	25025120301				5	0.3	George Lewis School	8:30:00 AM	3:10:00 PM	"10 Fenwood Rd, 02115"	42.33392	-71.106364
1	NASSAU ST	2111	1 Nassau St # 2203	42.34856	-71.062948	D2D	4	25025070200				7	0.5	Carlton Fisk School	7:30:00 AM	2:10:00 PM	"60 Washington St, 02121"	42.307152	-71.081162
1	RAYMOND ST	2134	1 Raymond St # 1C	42.36175	-71.135716	D2D	1	25025000100				5	0.4	Vern Stephens School	9:30:00 AM	5:00:00 PM	"50 Bunker Hill St, 02129"	42.37668	-71.057759
3235	WASHINGTON ST	2130	3235 Washington St	42.31192	-71.10241	Corner	K	25025120301				5	0.3	Rick Ferrell School	7:30:00 AM	3:00:00 PM	"570 Amer Legion Hwy, 02131"	42.286377	-71.107826
1	HUNTINGTON AV	2116	1 Huntington Ave # 903	42.348784	-71.078009	Corner	2	25025010600				7	0.3	Jim Lonborg School	8:30:00 AM	4:00:00 PM	"270 Columbia Rd, 02121"	42.309175	-71.0756
1	VIKING TE	2126	1 Viking Ter	42.27152	-71.08918	Corner	3	25025101002				5	0.3	Jason Varitek School	9:30:00 AM	5:00:00 PM	"205 Roxbury St, 02119"	42.330591	-71.091208
1	NASSAU ST	2111	1 Nassau St # 1609	42.34856	-71.062948	Corner	3	25025070200				7	0.5	John Gorman School	8:30:00 AM	4:00:00 PM	"110 Beachview Rd, 02128"	42.391629	-71.005053
3573	WASHINGTON ST	2130	3573 Washington St	42.30416	-71.11004	Corner	2	25025120201				3	0.4	John Taylor School	9:30:00 AM	5:00:00 PM	"450 Poplar St, 02131"	42.274604	-71.127316
3859	WASHINGTON ST	2131	3859 Washington St	42.29674	-71.11768	Corner	5	25025110103				3	0.4	John Gorman School	8:30:00 AM	4:00:00 PM	"110 Beachview Rd, 02128"	42.391629	-71.005053
3885	WASHINGTON ST	2131	3885 Washington St	42.295843	-71.118649	Corner	3	25025110103				3	0.5	Bruce Hurst School	8:30:00 AM	4:00:00 PM	"144 McBride St, 02130"	42.306584	-71.109228
1	AVERY ST	2111	1 Avery St # 27A	42.353458	-71.062852	Corner	K	25025070101				7	0.2	Jimmie Foxx School	7:30:00 AM	3:00:00 PM	"50 Burke St, 02127"	42.337285	-71.085266
1	ASHBURTON PL	2114	1 Ashburton Pl	42.359276	-71.062359	Corner	3	25025030300				7	0.3	Jason Varitek School	9:30:00 AM	5:00:00 PM	"205 Roxbury St, 02119"	42.330591	-71.091208
3984	WASHINGTON ST	2131	3984 Washington St # 3	42.29283	-71.12102	D2D	3	25025110103				3	0.3	Bill Monbouquette School	8:30:00 AM	4:00:00 PM	"240 Medford St, 02129"	42.380102	-71.061057
1	CHARLES STREET SOUTH  	2116	1 Charles St S #10E	42.351541	-71.067431	Corner	K	25025070300				5	0.3	Reggie Smith School	9:30:00 AM	5:00:00 PM	"40 Gordon Ave, 02136"	42.256769	-71.127075
4008	WASHINGTON ST	2131	4008 Washington St # 3B	42.29212	-71.12177	Corner	3	25025110103				3	0.5	Lefty Grove School	7:30:00 AM	3:00:00 PM	"150 Norfolk Ave, 02119"	42.326126	-71.071284
